id;sex;example.audio;example.video;answer;order;v_a
73;m;k;k;k;2;v
73;m;p;t;p;2;v
73;m;t;p;k;2;v
73;m;p;p;p;2;v
73;m;k;p;k;2;v
73;m;t;k;t;2;v
74;m;p;k;p;2;v
74;m;k;t;k;2;v
74;m;t;t;t;2;v
74;m;k;k;k;2;v
74;m;p;t;p;2;v
74;m;t;p;k;2;v
74;m;p;p;p;2;v
74;m;k;p;k;2;v
74;m;t;k;t;2;v
75;m;p;k;p;2;v
75;m;k;t;k;2;v
75;m;t;t;t;2;v
75;m;k;k;k;2;v
75;m;p;t;p;2;v
75;m;t;p;t;2;v
75;m;p;p;p;2;v
75;m;k;p;k;2;v
75;m;t;k;t;2;v
76;f;p;k;p;2;v
76;f;k;t;k;2;v
76;f;t;t;t;2;v
76;f;k;k;k;2;v
76;f;p;t;p;2;v
76;f;t;p;k;2;v
76;f;p;p;p;2;v
76;f;k;p;k;2;v
76;f;t;k;t;2;v
77;m;p;k;k;2;v
77;m;k;t;k;2;v
77;m;t;t;t; ;v
77;m;k;k;k;2;v
77;m;p;t;t;2;v
77;m;t;p;k;2;v
77;m;p;p;p;2;v
77;m;k;p;p;2;v
77;m;t;k;t;2;v
78;m;p;k;p;2;v
78;m;k;t;-;2;v
78;m;t;t;t;2;v
78;m;k;k;k;2;v
78;m;p;t;p;2;v
78;m;t;p;k;2;v
78;m;p;p;p;2;v
78;m;k;p;k;2;v
78;m;t;k;t;2;v
79;m;p;k;p;2;v
79;m;k;t;k;2;v
79;m;t;t;t;2;v
79;m;k;k;k;2;v
79;m;p;t;p;2;v
79;m;t;p;k;2;v
79;m;p;p;p;2;v
79;m;k;p;k;2;v
79;m;t;k;t;2;v
80;m;p;k;p;2;v
80;m;k;t;k;2;v
80;m;t;t;t;2;v
80;m;k;k;k;2;v
80;m;p;t;p;2;v
80;m;t;p;k;2;v
80;m;p;p;p;2;v
80;m;k;p;k;2;v
80;m;t;k;t;2;v
81;m;p;k;p;2;v
81;m;k;t;k;2;v
81;m;t;t;t;2;v
81;m;k;k;k;2;v
81;m;p;t;p;2;v
81;m;t;p;t;2;v
81;m;p;p;p;2;v
81;m;k;p;p;2;v
81;m;t;k;t;2;v
82;m;p;k;k;2;v
82;m;k;t;k;2;v
